Epoch,Train_Loss,Validation_Loss,Dice_Metric,Hausdorff_Metric,Epoch_Duration
1,0.9895814726595006,0.9925665107422978,0.0,0.0,49907 milliseconds
2,0.9721269976229252,0.9925665107422978,0.0,0.0,49394 milliseconds
3,0.9173819160452611,0.9925665107422978,0.0,0.0,51367 milliseconds
4,0.773779246645309,0.992556241001134,0.0,0.0,54738 milliseconds
5,0.7326891889563114,0.9869362775389058,0.0,0.0,53262 milliseconds
6,0.6305518126485783,0.9686778967629944,0.0,0.0,50062 milliseconds
7,0.6255252490661254,0.9623722104053303,0.0,0.0,52567 milliseconds
8,0.5962933502086191,0.9365944229404319,0.0,0.0,53066 milliseconds
9,0.52822620722148,0.8871966362769499,0.0,0.0,51462 milliseconds
10,0.5129679496417774,0.8590460483888802,0.0,0.0,50983 milliseconds
