Epoch,Train_Loss,Validation_Loss,Dice_Metric,Hausdorff_Metric,Epoch_Duration
1,0.8795277912970869,0.8717275391691283,0.13362813993467787,40.365058313327594,66928 milliseconds
2,0.8723915932156576,0.8731773157456114,0.13268283284479498,40.365058313327594,62173 milliseconds
3,0.8741458958958609,0.874718562513416,0.1311132201982993,40.365058313327594,58053 milliseconds
4,0.875435539655343,0.8706612716280326,0.1361807835718706,40.198807821843815,56546 milliseconds
5,0.8690587948987583,0.8627878640329275,0.1459837204941794,39.92162711439376,57923 milliseconds
6,0.8614065183764198,0.858788759368913,0.14962710410066438,40.00392555656511,57961 milliseconds
7,0.8588903380513399,0.8576384992226727,0.1495772183271947,40.00392555656511,57924 milliseconds
8,0.8583118867692495,0.8587828634353041,0.14823887652191073,40.00392555656511,54970 milliseconds
9,0.8582069807215599,0.8581282656268311,0.1490055716635931,40.00392555656511,63200 milliseconds
10,0.8565583864148741,0.8548746792438859,0.15222752144166563,40.00392555656511,62612 milliseconds
